iter	RMSE
0	24.9853786
1	23.4900479
2	22.43209552
3	21.62744285
4	20.99750928
5	20.58101432
6	19.84801805
7	18.63630093
8	18.26434805
9	17.70523947
10	17.26648202
11	16.59967142
12	16.1127596
13	15.87579708
14	15.57361486
15	15.11048099
16	14.87967966
17	14.77435833
18	14.62759718
19	14.37444106
20	14.03218591
21	13.61435071
22	13.3739395
23	13.21584588
24	13.12637869
25	12.8457321
26	12.71181761
27	12.55255873
28	12.37335195
29	12.28046967
30	12.11780948
31	12.0120665
32	11.97526985
33	11.63726814
34	11.55895063
35	11.4219581
36	11.33413388
37	11.23186341
38	10.94273582
39	10.8859398
40	10.80631126
41	10.67774682
42	10.58190371
43	10.38055183
44	10.31391476
45	10.24645167
46	10.16254408
47	10.04551787
48	9.965903098
49	9.868608747
50	9.801054145
51	9.747320062
52	9.69841788
53	9.531517631
54	9.456943176
55	9.369568971
56	9.314201618
57	9.208449775
58	9.076560801
59	8.937796901
60	8.86106753
61	8.812706591
62	8.723706166
63	8.602712887
64	8.550486174
65	8.501390293
66	8.418689242
67	8.359054275
68	8.290994796
69	8.248912826
70	8.162311187
71	8.06742306
72	8.018676138
73	7.96153731
74	7.894632489
75	7.865923238
76	7.839097777
77	7.802642165
78	7.758125398
79	7.718160206
80	7.614514825
81	7.548007031
82	7.523767872
83	7.464271049
84	7.440489872
85	7.37207439
86	7.35247958
87	7.283767666
88	7.23548035
89	7.195809536
90	7.170107407
91	7.133315019
92	7.109105645
93	7.068436734
94	7.03574383
95	6.990122921
96	6.930199899
97	6.888415828
98	6.855537881
99	6.778955352
