iter	Passed	Remaining
0	4	452
1	8	415
2	12	401
3	16	385
4	19	377
5	23	369
6	27	363
7	31	358
8	35	357
9	39	351
10	42	345
11	46	343
12	52	349
13	58	356
14	63	360
15	68	361
16	73	360
17	78	356
18	82	353
19	86	347
20	90	342
21	94	336
22	98	330
23	104	329
24	117	353
25	121	347
26	126	341
27	130	335
28	134	329
29	138	323
30	142	317
31	147	313
32	169	343
33	175	340
34	179	333
35	184	327
36	188	321
37	192	314
38	197	308
39	200	301
40	204	294
41	208	287
42	212	281
43	239	304
44	246	300
45	249	292
46	253	285
47	256	277
48	259	270
49	263	263
50	266	255
51	269	249
52	274	243
53	277	236
54	282	230
55	286	224
56	289	218
57	293	212
58	297	206
59	300	200
60	304	194
61	308	188
62	312	183
63	316	177
64	319	172
65	323	166
66	327	161
67	330	155
68	334	150
69	337	144
70	342	139
71	346	134
72	350	129
73	354	124
74	358	119
75	362	114
76	366	109
77	370	104
78	374	99
79	377	94
80	381	89
81	385	84
82	388	79
83	392	74
84	395	69
85	399	65
86	402	60
87	406	55
88	426	52
89	431	47
90	435	43
91	440	38
92	444	33
93	448	28
94	453	23
95	457	19
96	461	14
97	465	9
98	469	4
99	473	0
